Total configs: 1651
Building features...
Loading ML odds...
  [1438] win=64.8% bets=733 ROI=+25.6%  ['massey_avg_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1439] win=65.9% bets=709 ROI=+27.7%  ['massey_avg_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1440] win=64.5% bets=722 ROI=+25.1%  ['massey_avg_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1441] win=65.3% bets=736 ROI=+26.7%  ['massey_avg_diff', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1442] win=64.8% bets=742 ROI=+25.7%  ['massey_avg_diff', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1443] win=64.8% bets=748 ROI=+25.7%  ['massey_avg_diff', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1444] win=65.7% bets=750 ROI=+27.4%  ['massey_avg_diff', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1445] win=65.7% bets=749 ROI=+27.3%  ['massey_avg_diff', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1446] win=66.6% bets=706 ROI=+29.0%  ['massey_avg_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1447] win=64.7% bets=722 ROI=+25.4%  ['massey_avg_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1448] win=65.1% bets=727 ROI=+26.1%  ['massey_avg_diff', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1449] win=65.0% bets=720 ROI=+26.0%  ['massey_avg_diff', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
