Total configs: 1651
Building features...
Loading ML odds...
  [787] win=49.5% bets=475 ROI=-4.1%  ['elo_diff', 'elo_pred', 'margin_mean_diff', 'sos_diff', 'trank_adjD_diff']
  [788] win=51.2% bets=473 ROI=-1.0%  ['elo_diff', 'elo_pred', 'margin_mean_diff', 'sos_diff', 'off_eff_r10_diff']
  [789] win=51.1% bets=472 ROI=-1.2%  ['elo_diff', 'elo_pred', 'margin_mean_diff', 'sos_diff', 'def_eff_r10_diff']
  [790] win=51.0% bets=463 ROI=-1.3%  ['elo_diff', 'elo_pred', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [791] win=50.3% bets=469 ROI=-2.5%  ['elo_diff', 'elo_pred', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [792] win=51.9% bets=480 ROI=+0.5%  ['elo_diff', 'elo_pred', 'margin_mean_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [793] win=52.8% bets=481 ROI=+2.3%  ['elo_diff', 'elo_pred', 'margin_mean_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [794] win=50.3% bets=457 ROI=-2.6%  ['elo_diff', 'elo_pred', 'margin_mean_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [795] win=51.5% bets=470 ROI=-0.3%  ['elo_diff', 'elo_pred', 'margin_mean_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [796] win=51.6% bets=473 ROI=-0.2%  ['elo_diff', 'elo_pred', 'margin_mean_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [797] win=50.5% bets=453 ROI=-2.0%  ['elo_diff', 'elo_pred', 'margin_mean_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [798] win=50.7% bets=454 ROI=-1.9%  ['elo_diff', 'elo_pred', 'margin_mean_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [799] win=52.0% bets=475 ROI=+0.6%  ['elo_diff', 'elo_pred', 'margin_mean_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
