Total configs: 1651
Building features...
Loading ML odds...
  [1235] win=51.2% bets=611 ROI=-1.0%  ['elo_pred', 'barthag_diff', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1236] win=50.9% bets=654 ROI=-1.6%  ['elo_pred', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1237] win=50.8% bets=662 ROI=-1.8%  ['elo_pred', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1238] win=50.8% bets=626 ROI=-1.9%  ['elo_pred', 'barthag_diff', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1239] win=50.5% bets=631 ROI=-2.3%  ['elo_pred', 'barthag_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1240] win=51.5% bets=651 ROI=-0.5%  ['elo_pred', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1241] win=52.1% bets=624 ROI=+0.8%  ['elo_pred', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1242] win=50.8% bets=632 ROI=-1.8%  ['elo_pred', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1243] win=50.5% bets=612 ROI=-2.3%  ['elo_pred', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1244] win=50.5% bets=643 ROI=-2.3%  ['elo_pred', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1245] win=50.8% bets=614 ROI=-1.7%  ['elo_pred', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1246] win=50.5% bets=642 ROI=-2.4%  ['elo_pred', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1247] win=50.7% bets=671 ROI=-2.0%  ['elo_pred', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1248] win=51.3% bets=641 ROI=-0.7%  ['elo_pred', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1249] win=51.4% bets=636 ROI=-0.6%  ['elo_pred', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
