Total configs: 1651
Building features...
Loading ML odds...
  [1488] win=50.9% bets=446 ROI=-1.1%  ['barthag_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1489] win=51.0% bets=447 ROI=-1.2%  ['barthag_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1490] win=49.9% bets=453 ROI=-3.2%  ['barthag_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1491] win=50.1% bets=455 ROI=-2.9%  ['barthag_diff', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1492] win=52.6% bets=494 ROI=+2.0%  ['barthag_diff', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1493] win=50.2% bets=474 ROI=-2.6%  ['barthag_diff', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1494] win=50.6% bets=500 ROI=-2.0%  ['barthag_diff', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1495] win=49.6% bets=506 ROI=-4.0%  ['barthag_diff', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1496] win=50.2% bets=438 ROI=-2.5%  ['barthag_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1497] win=50.1% bets=417 ROI=-2.7%  ['barthag_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1498] win=49.4% bets=460 ROI=-4.6%  ['barthag_diff', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1499] win=48.2% bets=463 ROI=-6.9%  ['barthag_diff', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
