iter	Logloss
148	0.5024923002
149	0.50239458
150	0.5022985498
151	0.5022131142
152	0.5021115561
153	0.5020295426
154	0.501956684
155	0.5019006462
156	0.5018161081
157	0.5017566999
158	0.5016691308
159	0.5015865871
160	0.5015009347
161	0.5014171238
162	0.5013369972
163	0.5012751373
164	0.5011945586
165	0.5011596761
166	0.5010433344
167	0.5009747276
168	0.5009024162
169	0.50084712
170	0.5007792575
171	0.5007140389
172	0.500647581
173	0.5005928493
174	0.5005485062
175	0.5005006914
176	0.5004524779
177	0.5003930942
178	0.5003464309
179	0.5002876006
180	0.5002396359
181	0.5001906457
182	0.5001447274
183	0.5001115008
184	0.5000855421
185	0.5000310836
186	0.4999918215
187	0.4999663428
188	0.4999078249
189	0.4998519479
190	0.4998319292
191	0.4997704727
192	0.4997221759
193	0.4996654882
194	0.4996194297
195	0.4995435947
196	0.4995225831
197	0.4994685875
198	0.499423769
199	0.4993763667
200	0.4993420994
201	0.4992902225
202	0.499248236
203	0.4992305677
204	0.4992101124
205	0.4991902911
206	0.4991444011
207	0.4991260213
208	0.4990966843
209	0.4990562328
210	0.4990175558
211	0.4989993611
212	0.4989745193
213	0.4989569556
214	0.498904208
215	0.4988632194
216	0.4988282029
217	0.4987963859
218	0.4987448325
219	0.4986971565
220	0.49868092
221	0.4986421531
222	0.4986116753
223	0.498582854
224	0.4985587855
225	0.4985150073
226	0.4984812189
227	0.4984449715
228	0.4984261703
229	0.4983953692
230	0.4983788497
231	0.4983529375
232	0.4983364669
233	0.4983045476
234	0.4982761882
235	0.4982574428
236	0.4982325902
237	0.4982145103
238	0.4981975835
239	0.4981734711
240	0.4981360122
241	0.4981004056
242	0.4980643647
243	0.4980256736
244	0.4979941991
245	0.4979676597
246	0.497956137
247	0.497924071
248	0.4978853328
249	0.4978734159
250	0.4978447214
251	0.4978317207
252	0.4978096002
253	0.4977884348
254	0.4977674334
255	0.4977483223
256	0.4977250682
257	0.4977101403
258	0.4976845826
259	0.4976608643
260	0.4976354427
261	0.4976087998
262	0.4975841739
263	0.4975576219
264	0.4975448703
265	0.4975250852
266	0.4975158163
267	0.4974893776
268	0.4974645661
269	0.4974471048
270	0.4974233143
271	0.4974015679
272	0.4973773311
273	0.4973669758
274	0.4973552407
275	0.4973332257
276	0.4973134821
277	0.4972867948
278	0.4972646449
279	0.4972492441
280	0.4972091207
281	0.4971782017
282	0.4971539432
283	0.4971359598
284	0.4971086153
285	0.4971000187
286	0.4970885304
287	0.497055748
288	0.4969287746
289	0.4969191884
290	0.4969097404
291	0.4968832363
292	0.4968738853
293	0.4968533143
294	0.4968369954
295	0.4968219621
296	0.496791132
297	0.4967791028
298	0.4967543357
299	0.4966909685
300	0.4965938088
301	0.496565718
302	0.4965484729
303	0.496439241
304	0.4964275236
305	0.4964186272
306	0.4963957812
307	0.4963675793
308	0.4963566142
309	0.4962972205
310	0.4962679215
311	0.4962558502
312	0.4962493458
313	0.4962406402
314	0.4961317545
315	0.4961176298
316	0.4961068723
317	0.4960802058
318	0.4960719163
319	0.4960538258
320	0.4960410835
321	0.496006252
322	0.4959788898
323	0.4959323864
324	0.4958154047
325	0.4958051931
326	0.4957946687
327	0.4957602963
328	0.495745092
329	0.495732403
330	0.4957241199
331	0.4957137947
332	0.4956898865
333	0.4956814557
334	0.4956679118
335	0.4956425472
336	0.4955403414
337	0.4955198165
338	0.4955039385
339	0.4954935972
340	0.4954838446
341	0.4954701211
342	0.4954334794
343	0.4954248231
344	0.4954168465
345	0.4954022121
346	0.4952969902
347	0.4952727976
348	0.4952589847
349	0.4952426513
350	0.4952325805
351	0.4952163849
352	0.4952108876
353	0.4951966788
354	0.4951912968
355	0.4951854631
356	0.4951721384
357	0.49505033
358	0.4949461901
359	0.4949310419
360	0.4949225519
361	0.4949167514
362	0.4949080333
363	0.4949000163
364	0.4948956166
365	0.4948904674
366	0.4948697161
367	0.4948132694
368	0.4947953576
369	0.4947758266
370	0.4947693513
371	0.4947500535
372	0.4947360217
373	0.4947183946
374	0.494711824
375	0.4947050489
376	0.4946791876
377	0.4946727573
378	0.4946558793
379	0.49463452
380	0.4945826891
381	0.4945578035
382	0.4945292129
383	0.4945140393
384	0.4945082428
385	0.4944192232
386	0.4943768161
387	0.4943691009
388	0.4943527406
389	0.494342182
390	0.4943320167
391	0.4942220005
392	0.4942082193
393	0.4941565808
394	0.494139223
395	0.4941282431
396	0.4941216105
397	0.4940334073
398	0.4940262822
399	0.4939354974
400	0.4939309592
401	0.4939181777
402	0.4938363812
403	0.4938234472
404	0.4938130162
405	0.4937270323
406	0.4937139588
407	0.4936957791
408	0.4936884524
409	0.4936772874
410	0.4936534023
411	0.4936419205
412	0.4936195762
413	0.4936122846
414	0.4935240695
415	0.4935167266
416	0.4934469596
417	0.493436258
418	0.4934277751
419	0.4934105021
420	0.4934058783
421	0.4933957717
422	0.4933139359
423	0.4932406277
424	0.4932333111
425	0.4931627532
426	0.4931472898
427	0.4931421362
428	0.4931351993
429	0.4930963098
430	0.4930864904
431	0.4930769892
432	0.493072065
433	0.4930636489
434	0.4930570814
435	0.4930513266
436	0.4930470212
437	0.4930012796
438	0.4929287564
439	0.4929133123
440	0.4929062624
441	0.4928987808
442	0.492892636
443	0.4928193875
444	0.492771589
445	0.492747968
446	0.4927400305
447	0.4927300595
448	0.4927181512
449	0.492711809
450	0.4926925183
451	0.4926826559
452	0.4926754496
453	0.4926118621
454	0.4925911754
455	0.4925242207
456	0.4925129089
457	0.492504611
458	0.4924993226
459	0.4924812371
460	0.4924727551
461	0.4924562115
462	0.4924482698
463	0.4924349278
464	0.4924218018
465	0.492409288
466	0.4924017946
467	0.4923596765
468	0.4923553951
469	0.4923427066
470	0.492335867
471	0.4923305241
472	0.4923243796
473	0.4922633623
474	0.4922467747
475	0.4922389152
476	0.4922315815
477	0.4922239324
478	0.4922172579
479	0.4921516774
480	0.49213325
481	0.4921275396
482	0.4921237486
483	0.4921100113
484	0.4920665511
485	0.4920621743
486	0.4920003928
487	0.4919901926
488	0.4919102397
489	0.4918538523
490	0.4918481664
491	0.4918430731
492	0.4918253627
493	0.4918175154
494	0.4917430049
495	0.4916879276
496	0.4916572224
497	0.4916451929
498	0.491636282
499	0.491618889
