iter	Logloss
0	0.6852841403
1	0.6778064232
2	0.670891305
3	0.6642882943
4	0.6580482017
5	0.652146435
6	0.647150515
7	0.641756029
8	0.6367019844
9	0.6323431545
10	0.6279464856
11	0.6239122379
12	0.6196675218
13	0.615655654
14	0.6121365314
15	0.6087339179
16	0.6050126801
17	0.6015522148
18	0.598583441
19	0.5952776877
20	0.5921658117
21	0.5892017111
22	0.5863790795
23	0.5835564474
24	0.5809492156
25	0.5783422466
26	0.5758170803
27	0.5733034628
28	0.5710221719
29	0.5690104231
30	0.5668893044
31	0.5648060643
32	0.5630423329
33	0.5613010839
34	0.5594779754
35	0.5577718995
36	0.5560925138
37	0.5544110219
38	0.5527461998
39	0.5513441214
40	0.5499968656
41	0.5485029941
42	0.5470610368
43	0.5458757824
44	0.5446320649
45	0.5435694594
46	0.5423394085
47	0.541228018
48	0.54000787
49	0.5388800879
50	0.5377539339
51	0.5368568311
52	0.5358331121
53	0.5348493306
54	0.5338917129
55	0.5329816081
56	0.5319586884
57	0.5310493418
58	0.5301947613
59	0.529486489
60	0.5287770512
61	0.527970093
62	0.527296994
63	0.5266895487
64	0.5259672385
65	0.525332974
66	0.5247252182
67	0.5241292642
68	0.5235736342
69	0.5228447295
70	0.5223728696
71	0.521898382
72	0.5214618649
73	0.5209253393
74	0.5202743609
75	0.5197317905
76	0.5192534973
77	0.518801211
78	0.5183780594
79	0.5178937896
80	0.5174221309
81	0.5170274651
82	0.5166390958
83	0.5162298832
84	0.5157120324
85	0.5153123229
86	0.5149258626
87	0.5145447418
88	0.5142482173
89	0.513753501
90	0.513311787
91	0.5129023572
92	0.5125674611
93	0.5122760781
94	0.5120349896
95	0.5117421032
96	0.5114061477
97	0.5110826872
98	0.5107643873
99	0.5105461928
100	0.5102753456
101	0.5100064883
102	0.5098095574
103	0.5095217823
104	0.5093377612
105	0.5090869775
106	0.5088794528
107	0.5085932204
108	0.5083572943
109	0.5081759052
110	0.508009869
111	0.5077866751
112	0.5075784235
113	0.507373853
114	0.5071513185
115	0.506932893
116	0.5067611984
117	0.5065624884
118	0.5063652014
119	0.5061952119
120	0.5060192783
121	0.5058863075
122	0.5057061815
123	0.5055890466
124	0.5054027063
125	0.5052602229
126	0.505096165
127	0.5049580669
128	0.5048022945
129	0.5046598498
130	0.5045570981
131	0.5043683768
132	0.504225011
133	0.5041067264
134	0.5039662135
135	0.5038267836
136	0.5037116079
137	0.5036008528
138	0.5034731151
139	0.5033948722
140	0.5032780757
141	0.5031660711
142	0.5030834317
143	0.5030033371
144	0.5028995113
145	0.5027624658
146	0.502665048
147	0.502595825
